ITE00100554,17600101,TMAX,-36,,,E,
ITE00100554,17600101,TMIN,-50,,,E,
ITE00100554,17600102,TMAX,-26,,,E,
ITE00100554,17600102,TMIN,-40,,,E,
ITE00100554,17600103,TMAX,419,,,E,
ITE00100554,17600103,TMIN,-29,,,E,
ITE00100554,17600104,TMAX,-4,,,E,
ITE00100554,17600104,TMIN,-24,,,E,
ITE00100554,17600105,TMAX,21,,,E,
ITE00100554,17600105,TMIN,1,,,E,
ITE00100554,17600106,TMAX,13,,,E,
ITE00100554,17600106,TMIN,-7,,,E,
ITE00100554,17600107,TMAX,24,,,E,
ITE00100554,17600107,TMIN,2,,,E,
ITE00100554,17600108,TMAX,10,,,E,
ITE00100554,17600108,TMIN,-22,,,E,
ITE00100554,17600109,TMAX,24,,,E,
ITE00100554,17600109,TMIN,2,,,E,
ITE00100554,17600110,TMAX,24,,,E,
ITE00100554,17600110,TMIN,2,,,E,
ITE00100554,17600111,TMAX,25,,,E,
ITE00100554,17600111,TMIN,3,,,E,
ITE00100554,17600112,TMAX,17,,,E,
ITE00100554,17600112,TMIN,-17,,,E,
ITE00100554,17600113,TMAX,17,,,E,
ITE00100554,17600113,TMIN,-5,,,E,
ITE00100554,17600114,TMAX,2,,,E,
ITE00100554,17600114,TMIN,-20,,,E,
ITE00100554,17600115,TMAX,-14,,,E,
ITE00100554,17600115,TMIN,-38,,,E,
ITE00100554,17600116,TMAX,-27,,,E,
ITE00100554,17600116,TMIN,-51,,,E,
ITE00100554,17600117,TMAX,-26,,,E,
ITE00100554,17600117,TMIN,-50,,,E,
ITE00100554,17600118,TMAX,-36,,,E,
ITE00100554,17600118,TMIN,-60,,,E,
ITE00100554,17600119,TMAX,-39,,,E,
ITE00100554,17600119,TMIN,-63,,,E,
ITE00100554,17600120,TMAX,-21,,I,E,
ITE00100554,17600120,TMIN,-45,,,E,
ITE00100554,17600121,TMAX,18,,,E,
ITE00100554,17600121,TMIN,-8,,I,E,
ITE00100554,17600122,TMAX,28,,,E,
